date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:15	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202024%2013:51:17%20GMT	https://web.archive.org/robots.txt		(from )
14:51:15	202294/202294	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202024%2013:51:18%20GMT	https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/web/20240718170310/https_/www.smart-digital.at/en/index.html	(from )
14:51:17	15127/15127	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22671303fe-3b17%22	http://archive.org/includes/athena.js	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/archive.org/includes/athena.js	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:17	24154/24154	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202024%2011:07:57%20GMT	https://web.archive.org/_static/js/bundle-playback.js?v=HxkREWBo	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/_static/js/bundle-playback8db8.js	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:18	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202024%2011:06:58%20GMT	https://web.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:18	9867/9867	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202024%2011:06:01%20GMT	https://web.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:18	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202024%2011:06:31%20GMT	https://web.archive.org/_static/js/ruffle/ruffle.js	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:18	5649/5649	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202024%2011:07:28%20GMT	https://web.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2022%20Nov%202024%2013:51:21%20GMT	https://web.archive.org/web/20240718170310cs_/https://www.smart-digital.at/wp-content/cache/wpo-minify/1718026369/assets/wpo-minify-header-af40a85b.min.css	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/web/20240718170310cs_/https_/www.smart-digital.at/wp-content/cache/wpo-minify/1718026369/assets/wpo-minify-header-af40a85b.min.css	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
14:51:19	132971/132971	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2022%20Nov%202024%2013:51:21%20GMT	https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/feed/	C:/Users/morit/Documents/Personal%20Website/Smart%20Dgitial/web.archive.org/web/20240718170310/https_/www.smart-digital.at/en/feed/index.html	(from https://web.archive.org/web/20240718170310/https://www.smart-digital.at/en/)
